Samples	acr3	amt1	amtb	arsr	cara	carb	chra	cira	cyns	dada	dpsa	expd	fepb	fepc	foca	fur	futa	gap1	gdha	glna	glnb	glsf	isib	moaa	moab	moac	moad	moae	moba	moea	nadb	napa	narb	nira	ntca	phnd	phoa	phob	phoe	phor	phox	ppa	ppk	ppx	psta	pstb	pstc	psts	ptra	spea	speb	sqdb	thio	tolq	tonb	urea	ureb	urec	ured	uree	uref	ureg	urta
TSC001	32.168800000000000	23.4658	6517.745000000000	401.2411000000000	3848.51603	1565.1282	812.9376	0.0	365.2723	3681.579310000000	0.0	0.0	0.0	0.0	0.0	7754.53094	0.0	35.295	2069.31194	4543.60848	1059.4459000000000	101.513	2061.9573200000000	1759.4597800000000	1705.1071000000000	625.11375	502.7182000000000	989.76688	1491.7563800000000	822.12249	660.4112600000000	9.68371	64.2793	171.2443	0.0	338.44814	82.4497	1170.8399900000000	100.6803	2394.0615300000000	31.684800000000000	349.08240000000000	2625.6306	2729.40405	3162.3472	2003.5473	6106.149700000000	5355.678700000000	276.1053	780.8835400000000	570.0783	0.0	479.38548	1728.8414000000000	514.4078000000000	243.9679	165.88120000000000	97.3055	1209.9457	218.508	228.9881	302.0323	1367.9817
TSC003	32.3413	128.409	1924.9316	189.1491	2304.1669	1205.7627	83.0632	0.0	192.7722	1863.5074	0.0	0.0	0.0	0.0	0.0	3123.26998	0.0	0.0	576.47039	3804.241500000000	1487.9818	277.042	324.96590000000000	1341.4886000000000	719.5053	532.54152	504.7202	476.7223	447.2592	454.2193	571.8813	0.0	0.0	80.045	294.139	397.7691	189.3541	1800.8119	272.5601	1900.1927	0.0	162.6226	1657.3259000000000	1045.9694	1037.8827	395.0852	4115.301900000000	2045.3277	144.38188	274.2488	188.4272	0.0	641.4088000000000	879.6461000000000	311.91780000000000	641.3162	398.3348	74.71340000000000	375.4980000000000	0.0	0.0	0.0	743.3958000000000
TSC005	91.8569	382.6532	2733.2435400000000	662.1592	5824.160540000000	3331.232190000000	471.88070000000000	11.9014	199.97860000000000	3724.0997000000000	0.0	0.0	0.0	0.0	0.0	5579.760030000000	0.0	0.0	1878.07459	4558.77728	3369.4834	74.3543	140.42607	2776.9107700000000	1593.9322	1083.1827000000000	1334.1284	1046.48807	1879.776	1397.7985800000000	1204.3148000000000	92.2994	218.0541	188.0219	51.2278	558.5627000000000	175.8342	1987.6788	1005.9607	3919.7505900000000	91.3981	676.5626000000000	3697.87938	3339.644100000000	1788.9437000000000	1521.1861	3390.1779	3377.876440000000	262.6825	771.5076400000000	600.67761	183.2255	1066.3843	2787.82646	1512.1928000000000	213.50959	181.54960000000000	164.0869	402.6586	159.19250000000000	212.56850000000000	305.8466	964.58938
TSC008	98.2651	22.2585	4779.224900000000	401.6265	5566.666500000000	1837.841	518.6768	0.0	115.5196	3723.5372	0.0	0.0	0.0	0.0	0.0	6693.643170000000	0.0	0.0	1510.9708500000000	5915.348550000000	1137.848	0.0	1413.627	1936.30243	1496.97014	1096.27725	1552.82445	801.36535	2074.802090000000	1013.8135	1391.21267	0.0	0.0	0.0	2619.471	616.6843700000000	132.6702	1115.6051000000000	269.0119	2627.67055	102.1879	50.14797	2369.1421	2978.5269	1673.2702	456.0093	3203.02625	4163.497400000000	164.80713	1786.4011	319.77540000000000	16.1859	975.8969900000000	1667.7529100000000	704.46485	355.71200000000000	359.7944	337.50970000000000	578.4872	305.0455	386.7721	418.7482	579.4533
TSC013	0.0	24.2871	2400.2356	18.8883	2269.6141700000000	990.99745	76.30246	0.0	44.69563	1264.2267	0.0	0.0	0.0	0.0	0.0	2356.692000000000	0.0	0.0	506.7909	3434.7500000000000	633.85979	0.0	123.7114	795.94168	591.2592	160.42840000000000	286.1889	117.4622	587.4637	201.7205	444.4166	0.0	0.0	71.2373	110.306	344.1735	110.3227	1122.3060100000000	469.7777	1464.7040000000000	0.0	58.14688	2015.7389000000000	982.43692	713.4763	674.33724	1429.5265200000000	1165.03448	34.36134	191.55650000000000	181.8197	193.8082	307.19665	1023.45592	200.8743	176.7318	86.30920000000000	89.34480000000000	413.0723	182.6744	182.6744	197.79470000000000	440.7981
TSC016	0.0	589.30765	4831.38811	635.1124000000000	5102.82834	3072.702	619.9026	0.0	593.3391	4445.527650000000	12.1037	89.7208	0.0	0.0	0.0	9841.39491	0.0	33.5616	1470.2945600000000	7596.610600000000	2378.61995	173.47660000000000	89.6459	3688.85675	1449.6308	1431.3069400000000	1602.3821000000000	1425.3793000000000	3181.6412000000000	2020.12818	1640.32281	207.171	194.4551	211.9041	154.2088	1316.333	853.2178	1623.8679700000000	1873.7305	2804.1488000000000	0.0	1087.5417100000000	5679.22946	3612.39694	1222.659	778.9543000000000	2290.88599	4050.322740000000	431.3547	1090.1681	851.4521	765.3883000000000	1049.8289	2347.12658	739.6232	1165.5835	1032.6193	708.8317000000000	1744.36744	1183.4911000000000	897.7083000000000	840.0006	1748.97572
TSC020	0.0	0.0	3271.4727100000000	110.15116	8667.648460000000	5627.30789	303.4862	0.0	131.2879	5989.2668	0.0	0.0	0.0	0.0	0.0	8031.195990000000	0.0	0.0	1225.2376700000000	6539.556860000000	1901.49097	206.111	354.7126	1668.36679	1925.6674	658.0453000000000	891.8460000000000	807.0277000000000	1330.0050100000000	1185.11124	1323.26724	203.51	71.7492	0.0	0.0	217.7737	456.8096	2568.438	427.3078	3125.971490000000	0.0	615.2629	4645.386340000000	2648.7251400000000	349.2558	734.4070200000000	1505.6922000000000	1337.6477	503.5418	460.51188	423.6078	67.4203	1118.2946000000000	2942.4961000000000	580.1858000000000	406.33829	289.32329	353.95059000000000	399.1122	215.772	134.26410000000000	182.9657	1047.1409
TSC021	0.0	0.0	3405.5200000000000	59.66068	2087.91595	2364.552800000000	52.7081	0.0	15.933	1486.16999	0.0	0.0	0.0	0.0	0.0	2579.13928	0.0	175.428	777.5386	3521.80699	810.5204000000000	2188.31	567.4956	1625.64742	827.6106000000000	450.12270000000000	364.1632	278.9498	867.5575000000000	525.2067	2012.9154100000000	0.0	0.0	22.311	2894.3458	79.6226	89.4025	904.24861	54.067890000000000	1300.5338	0.0	841.5786	555.0923	587.5478400000000	1409.7462000000000	558.9289	3511.4419700000000	2866.13234	5.69494	88.91160000000000	155.7018	41.2785	76.16773000000000	672.22381	165.96090000000000	622.07326	593.73926	575.998	1687.9504	2904.9108	3054.7282	555.4677000000000	267.9298
TSC025	0.0	0.0	2905.04913	117.8225	2485.9552	1038.8627	81.863	0.0	68.6434	2114.1129	0.0	0.0	0.0	0.0	0.0	6386.377040000000	0.0	0.0	785.13059	2683.9809200000000	971.7704	4047.07	208.3921	1060.1204100000000	633.5226	484.63931	283.0912	433.70124	1409.0522	1006.1444	2753.14818	0.0	0.0	74.3419	2342.1346	137.31710000000000	0.0	928.1726	0.0	841.1746000000000	41.6166	381.6513	545.17642	937.65143	1042.8927	601.02604	2900.834410000000	2661.86668	13.2734	125.9955	67.9045	3009.38	2384.66247	661.6959000000000	111.1165	382.9052	341.27871	268.99781	1506.4226	2631.5994	1180.04976	84.7641	167.781
TSC027	0.0	423.314	3350.92327	401.2572	2785.41728	1350.2194500000000	98.7626	0.0	0.0	1586.2224	0.0	0.0	0.0	0.0	0.0	2410.70783	0.0	0.0	718.8537000000000	3916.1635	805.2363	832.962	304.35780000000000	2201.7762200000000	1152.3419	668.3725	408.3281	471.3533	1328.5361	931.1099	386.7885	12.3612	0.0	68.105	698.3788	183.729	76.9566	755.62425	16.9329	1659.3938000000000	16.6223	409.5151	67.62860000000000	683.46392	232.3087	217.8866	2669.876490000000	1938.2004	83.576	330.39660000000000	379.1279100000000	7.55136	417.43680000000000	675.1750000000000	35.6546	349.27000000000000	339.957	284.3471	833.5752	574.3126000000000	53.5116	66.6648	0.0
